,year,burned_area,basin_area,burned_prop,gage_id,snowy_area,snowy_burned_area,snowy_prop,burned_snow_xs,snow_burned_prop
0,[1936. 2003.],"[17245664.656525098, 129483.53362334787]",79728845.5177586,"[0.21630395554497078, 0.001624048771589287]",05014500,79728845.51775853,"[17245664.656525075, 129483.53362334787]",0.9999999999999992,"[-5.551115123125783e-16, 7.771561172376096e-16]","[0.9999999999999987, 1.0]"
1,[],[],1324336948.6622894,[],06019500,1324336948.6622837,[],0.9999999999999957,[],[]
2,[1931. 1949. 1974. 1979. 1988. 2003. 2007. 2016. 2018.],"[266594.565876946, 5945226.402772838, 1140947.4056590965, 18536050.966061555, 83827096.65109378, 9905409.38159103, 8366311.385137671, 9278959.310990948, 21191559.742725004]",2120420957.137452,"[0.0001257271887356019, 0.0028037953420337993, 0.0005380758956463837, 0.008741684477163935, 0.03953323342184826, 0.004671435333747709, 0.003945589840062754, 0.004375998680713596, 0.009994034284274103]",06043500,2120420957.1374462,"[266594.565876946, 5945226.402772841, 1140947.4056590972, 18536050.966061555, 83827096.65109386, 9905409.381591028, 8366311.385137664, 9278959.310991002, 21191559.742725007]",0.9999999999999973,"[2.6645352591003757e-15, 3.1086244689504383e-15, 3.3306690738754696e-15, 2.6645352591003757e-15, 3.552713678800501e-15, 2.4424906541753444e-15, 1.887379141862766e-15, 8.43769498715119e-15, 2.886579864025407e-15]","[1.0, 1.0000000000000004, 1.0000000000000007, 1.0, 1.0000000000000009, 0.9999999999999998, 0.9999999999999992, 1.0000000000000058, 1.0000000000000002]"
3,[],[],396820639.0728322,[],06093200,396820639.07283247,[],1.0000000000000007,[],[]
4,"[1889. 1900. 1910. 1919. 1931. 1932. 1933. 1934. 1935. 1939. 1940. 1942.
 1949. 1953. 1960. 1966. 1974. 1976. 1979. 1981. 1988. 1990. 1991. 1992.
 1994. 1996. 1998. 2001. 2002. 2003. 2004. 2005. 2006. 2007. 2008. 2009.
 2010. 2011. 2012. 2013. 2015. 2016. 2018. 2019.]","[17888107.740010135, 7849167.235793585, 45713243.86779495, 21195386.817062706, 5039399.884437037, 4203437.943445247, 4148755.923512298, 521951.420095085, 5264980.733494806, 6043307.556274563, 8559517.768927429, 1558555.5841932197, 4143409.8959981897, 6329647.452318023, 2236655.1994867064, 440220.49342979677, 3907814.894291733, 3475030.955588597, 10812049.702795314, 51373109.565134786, 2747325187.106743, 1513943.8809216882, 1303048.4073024108, 1577230.1945297213, 36487901.576305725, 25343118.437008195, 394865.92073551763, 48055267.531047836, 50055957.18526802, 87464418.36038762, 765196.6113550628, 388409.14343267924, 4071009.4365480705, 55640216.27989696, 38894915.25924973, 43960961.1733635, 24466037.18393144, 8677813.334783247, 15025257.955267532, 46480227.03735357, 8634130.888632756, 65842411.42344658, 2169758.5296025868, 1343553.4096902404]",9209011195.64089,"[0.0019424569435291291, 0.0008523355080194722, 0.004963968758060957, 0.0023015920348859603, 0.000547224862406775, 0.00045644834761792395, 0.00045051046582244604, 5.6678334840352035e-05, 0.0005717205269537514, 0.0006562384850976377, 0.0009294719690404003, 0.0001692424464562456, 0.0004499299444830172, 0.0006873319315014166, 0.00024287680316269276, 4.780323143033818e-05, 0.00042434685019619776, 0.00037735114897389984, 0.001174072815538896, 0.0055785695634133214, 0.29833009524488324, 0.0001643980932109538, 0.00014149710317642054, 0.00017127030915939243, 0.003962195375935407, 0.0027519912723099334, 4.287821052084598e-05, 0.005218287448037301, 0.005435540919850564, 0.009497699210289715, 8.309215778967352e-05, 4.2177073648963934e-05, 0.00044206802989609715, 0.006041931657791273, 0.004223571286096464, 0.004773689621983795, 0.0026567496405599444, 0.0009423176007095, 0.0016315821140905744, 0.005047254916939954, 0.0009375741548364872, 0.007149780798899806, 0.00023561254118462227, 0.00014589551268286166]",06192500,9209011195.640959,"[17888107.74001014, 7849167.235793589, 45713243.86779501, 21195386.817062706, 5039399.884437039, 4203437.943445248, 4148755.9235122977, 521951.4200950849, 5264980.733494805, 6043307.556274559, 8559517.768927429, 1558555.58419322, 4143409.8959981888, 6329647.452318025, 2236655.1994867064, 440220.49342979665, 3907814.894291732, 3475030.9555885955, 10812049.702795321, 51373109.56513479, 2747325187.106744, 1513943.8809216884, 1303048.4073024108, 1577230.1945297215, 36487901.5763057, 25343118.437008202, 394865.9207355176, 48055267.53104787, 50055957.18526809, 87464418.36038764, 765196.6113550634, 388409.14343267924, 4071009.436548068, 55640216.27989693, 38894915.25924969, 43960961.17336352, 24466037.18393142, 8677813.33478324, 15025257.955267547, 46480227.03735362, 8634130.888632769, 65842411.42344659, 2169758.529602585, 1343553.409690241]",1.0000000000000075,"[-7.327471962526033e-15, -7.105427357601002e-15, -6.217248937900877e-15, -7.549516567451064e-15, -7.105427357601002e-15, -7.327471962526033e-15, -7.66053886991358e-15, -7.771561172376096e-15, -7.771561172376096e-15, -8.215650382226158e-15, -7.549516567451064e-15, -7.327471962526033e-15, -7.771561172376096e-15, -7.327471962526033e-15, -7.549516567451064e-15, -7.771561172376096e-15, -7.771561172376096e-15, -7.993605777301127e-15, -6.8833827526759706e-15, -7.327471962526033e-15, -7.105427357601002e-15, -7.327471962526033e-15, -7.549516567451064e-15, -7.327471962526033e-15, -8.215650382226158e-15, -7.327471962526033e-15, -7.66053886991358e-15, -6.8833827526759706e-15, -6.217248937900877e-15, -7.327471962526033e-15, -6.8833827526759706e-15, -7.549516567451064e-15, -8.104628079763643e-15, -8.104628079763643e-15, -8.659739592076221e-15, -7.105427357601002e-15, -8.326672684688674e-15, -8.43769498715119e-15, -6.661338147750939e-15, -6.439293542825908e-15, -5.995204332975845e-15, -7.327471962526033e-15, -8.43769498715119e-15, -7.105427357601002e-15]","[1.0000000000000002, 1.0000000000000004, 1.0000000000000013, 1.0, 1.0000000000000004, 1.0000000000000002, 0.9999999999999999, 0.9999999999999998, 0.9999999999999998, 0.9999999999999993, 1.0, 1.0000000000000002, 0.9999999999999998, 1.0000000000000002, 1.0, 0.9999999999999998, 0.9999999999999998, 0.9999999999999996, 1.0000000000000007, 1.0000000000000002, 1.0000000000000004, 1.0000000000000002, 1.0, 1.0000000000000002, 0.9999999999999993, 1.0000000000000002, 0.9999999999999999, 1.0000000000000007, 1.0000000000000013, 1.0000000000000002, 1.0000000000000007, 1.0, 0.9999999999999994, 0.9999999999999994, 0.9999999999999989, 1.0000000000000004, 0.9999999999999992, 0.9999999999999991, 1.0000000000000009, 1.000000000000001, 1.0000000000000016, 1.0000000000000002, 0.9999999999999991, 1.0000000000000004]"
5,[],[],484857490.2087596,[],06224000,484857490.20875907,[],0.9999999999999989,[],[]
6,[2012.],[20669.709505378625],793946026.6536317,[2.6034149440231445e-05],06280300,793946026.6536309,[20669.709505378625],0.999999999999999,[9.992007221626409e-16],[1.0]
7,[],[],471268573.7928813,[],06289000,471268573.79288125,[],0.9999999999999999,[],[]
8,[],[],533625631.1219365,[],06298000,533625631.1219366,[],1.0000000000000002,[],[]
9,[],[],61231686.35210255,[],06311000,61231686.352102436,[],0.9999999999999982,[],[]
