,Gauge_ID,Latitude,Longitude,Fire_Year
0,05014500,48.7991,-113.6568,
1,06019500,45.1924,-112.1425,
2,06043500,45.4974,-111.2705,
3,06093200,48.37,-112.8028,2015.0
4,06192500,45.5972,-110.566,1988.0
5,06224000,43.1769,-109.2029,2012.0
6,06280300,44.2083,-109.5549,2013.0
7,06289000,45.0069,-107.6151,
8,06298000,44.8494,-107.3045,
9,06311000,44.0277,-107.0809,
10,06422500,44.1439,-103.4549,
11,06622700,41.3702,-106.5206,
12,06623800,41.0236,-106.8248,
13,07207500,36.5736,-104.9467,2002.0
14,07215500,35.9409,-105.2503,
15,08267500,36.5417,-105.5564,
16,08271000,36.5084,-105.5308,
17,08279000,36.2109,-105.9136,
18,08291000,35.9647,-105.9045,2013.0
19,08324000,35.6617,-106.7434,2011.0
20,08378500,35.7084,-105.6825,2013.0
21,08380500,35.652,-105.3189,
22,09026500,39.91,-105.8783,
23,09036000,39.8339,-106.0564,
24,09059500,39.8,-106.5839,
25,09065500,39.6258,-106.2781,
26,09066200,39.6483,-106.3231,
27,09081600,39.2322,-107.2273,
28,09124500,38.2989,-107.2301,
29,09210500,42.0961,-110.4166,2000.0
30,09223000,42.1105,-110.7096,
31,09255000,40.9825,-107.3828,
32,09266500,40.5775,-109.6221,
33,09277500,40.3002,-110.6024,
34,09289500,40.6066,-110.5271,
35,09292500,40.5119,-110.3415,
36,09312600,39.8758,-111.0374,
37,09342500,37.2661,-107.0109,2013.0
38,09404450,37.3394,-112.6044,2012.0
39,09430600,33.1667,-108.6498,2012.0
40,09492400,33.8223,-109.8145,
41,09496500,33.9859,-110.2809,2002.0
42,09497800,33.8431,-110.5576,2002.0
43,09497980,33.8278,-110.8562,2016.0
44,09499000,33.98,-111.3035,2004.0
45,09504500,34.7645,-111.891,2014.0
46,09505200,34.6747,-111.6721,
47,09505350,34.7286,-111.7757,2014.0
48,09505800,34.5386,-111.694,2016.0
49,09507980,34.2764,-111.6388,2004.0
50,09508300,34.1609,-111.6929,2004.0
51,09510200,33.6942,-111.5418,2005.0
52,10032000,42.2933,-110.8724,
53,10109000,41.7433,-111.7827,
54,10150500,40.0497,-111.548,2018.0
55,10173450,37.6228,-112.5169,2017.0
56,10194200,38.5791,-112.2902,2010.0
57,10205030,38.9119,-111.5305,
58,10215900,39.2591,-111.5799,
59,10242000,37.6722,-113.0347,
60,10263500,34.4208,-117.8395,2002.0
61,10296500,38.5132,-119.4499,2002.0
62,10308200,38.7146,-119.7649,2015.0
63,10310000,38.7696,-119.8338,
64,10316500,40.6908,-115.477,2018.0
65,10336660,39.1074,-120.1621,
66,10336676,39.1321,-120.1577,
67,10336780,38.9199,-119.9724,
68,10343500,39.4316,-120.238,
69,10396000,42.7908,-118.8675,1999.0
70,11055800,34.1439,-117.1887,2003.0
71,11062001,34.2122,-117.4581,2003.0
72,11113500,34.3956,-119.0765,2017.0
73,11124500,34.5967,-119.9088,2007.0
74,11132500,34.5886,-120.4085,
75,11143000,36.2458,-121.7733,2008.0
76,11152000,36.2805,-121.3227,2008.0
77,11176400,37.5613,-121.6838,2003.0
78,11186000,35.9452,-118.4776,2002.0
79,11200800,35.9416,-118.8229,
80,11230500,37.3394,-118.9735,
81,11315000,38.5191,-120.2127,
82,11316800,38.4032,-120.4469,
83,11367500,41.1882,-122.0656,
84,11379500,40.0246,-122.5097,
85,11381500,40.0546,-122.0242,1999.0
86,11383500,40.014,-121.9483,1990.0
87,11427700,39.1357,-120.4785,2001.0
88,11449500,38.9274,-122.8436,2015.0
89,11451100,39.1654,-122.62,2018.0
90,11468000,39.1721,-123.6695,
91,11468500,39.4282,-123.7378,
92,11469000,40.3132,-124.2837,
93,11473900,39.7063,-123.3253,2012.0
94,11475560,39.7296,-123.6439,
95,11476600,40.3513,-124.0039,
96,11478500,40.4804,-123.8909,2015.0
97,11481200,41.011,-124.0817,
98,11482500,41.2993,-124.0512,
99,11521500,41.8351,-123.3831,2018.0
100,11522500,41.3776,-123.4776,1987.0
101,11523200,41.1113,-122.7056,
102,11528700,40.6499,-123.4942,2015.0
103,11532500,41.7915,-124.0762,2002.0
104,12013500,46.6509,-123.6527,
105,12020000,46.6173,-123.2776,
106,12025000,46.6201,-122.9451,
107,12025700,46.7726,-122.594,
108,12045500,48.0548,-123.5832,
109,12048000,48.0143,-123.1327,
110,12054000,47.684,-123.0116,
111,12082500,46.7526,-122.0837,
112,12092000,46.9037,-122.0351,
113,12115000,47.3701,-121.6251,
114,12134500,47.8373,-121.6668,
115,12143400,47.4151,-121.5873,
116,12167000,48.2615,-122.0476,
117,12175500,48.6726,-121.0729,
118,12205000,48.906,-121.8443,
119,12302055,48.3555,-115.3149,
120,12324590,46.5197,-112.7934,
121,12330000,46.4721,-113.234,
122,12332000,46.1845,-113.5025,2017.0
123,12344000,45.9721,-114.1415,2000.0
124,12358500,48.4952,-114.0101,2003.0
125,12370000,48.0244,-113.9798,
126,12389500,47.5919,-115.2296,2007.0
127,12390700,47.586,-115.3552,
128,12409000,48.5943,-118.0625,
129,12411000,47.7061,-115.9792,
130,12414500,47.2746,-116.189,
131,12414900,47.1763,-116.4927,
132,12447390,48.8229,-120.1459,2003.0
133,12451000,48.3296,-120.6918,
134,12452800,47.8185,-120.4231,2015.0
135,12459000,47.5832,-120.6195,
136,12488500,46.9776,-121.1687,2017.0
137,13011500,43.8503,-110.5178,1988.0
138,13011900,43.8381,-110.4411,2012.0
139,13018300,43.4522,-110.7041,
140,13023000,43.1428,-110.9767,
141,13047500,44.0686,-111.2414,1988.0
142,13120000,43.9336,-114.1125,
143,13185000,43.6594,-115.7272,1994.0
144,13186000,43.4958,-115.3081,2012.0
145,13200000,43.6481,-115.9897,
146,13235000,44.0853,-115.6222,1989.0
147,13240000,44.9136,-115.9972,1994.0
148,13258500,44.5794,-116.6433,2018.0
149,13313000,44.9617,-115.5,2007.0
150,13331500,45.6199,-117.7266,
151,13336500,46.0867,-115.5139,2012.0
152,13337000,46.1508,-115.5872,2012.0
153,13338500,46.0864,-115.9767,
154,13340600,46.8405,-115.6207,
155,13345000,46.9152,-116.951,
156,14013000,46.0079,-118.1186,
157,14020000,45.7196,-118.3233,
158,14097100,44.8565,-121.1498,1996.0
159,14137000,45.3996,-122.1373,
160,14139800,45.4446,-122.1095,
161,14141500,45.4154,-122.1715,
162,14154500,43.736,-122.8734,
163,14158500,44.361,-121.9956,2003.0
164,14158790,44.3346,-122.047,
165,14165000,44.0929,-122.9573,
166,14178000,44.7068,-122.1012,2003.0
167,14182500,44.7915,-122.579,
168,14185000,44.3918,-122.4976,
169,14185900,44.5401,-122.4359,
170,14226500,46.6129,-121.6793,
171,14236200,46.5954,-122.4596,
172,14305500,44.7151,-123.8873,
173,14308000,42.9304,-122.9484,2002.0
174,14309500,42.804,-123.6109,
175,14316700,43.3498,-122.7289,
176,14325000,42.8915,-124.0707,
177,14332000,42.7082,-122.3928,
178,14400000,42.1234,-124.1873,2017.0
