,6626,6557,8859,6471,6469,6461
497084400,15.0,0.0,0.0,0.0,0.0,0.0
497170800,0.0,0.0,2.0,0.0,1.0,2.0
497257200,0.0,0.0,0.0,0.0,0.0,0.0
497343600,0.0,0.0,0.0,0.0,0.0,0.0
497430000,0.0,0.0,0.0,0.0,0.0,0.0
497516400,0.0,0.0,0.0,0.0,0.0,0.0
497602800,0.0,0.0,0.0,0.0,0.0,0.0
497689200,0.0,0.0,0.0,0.0,0.0,0.0
497775600,0.0,0.0,0.0,0.0,0.0,0.0
497862000,397.0,0.0,3.0,0.0,0.0,0.0
497948400,,,,,,
498034800,,,,,,
498121200,,,,,,
498207600,,,,,,
498294000,,,,,,
498380400,,,,,,
498466800,,,,,,
498553200,,,,,,
498639600,,,,,,
498726000,,,,,,
498812400,,,,,,
498898800,,,,,,
498985200,,,,,,
499071600,,,,,,
499158000,,,,,,
499244400,,,,,,
499334400,,,,,,
499420800,,,,,,
499507200,,,,,,
499593600,,,,,,
499680000,,,,,,
499766400,,,,,,
499852800,,,,,,
499939200,,,,,,
500025600,,,,,,
500112000,,,,,,
500198400,,,,,,
500284800,,,,,,
500371200,,,,,,
500457600,,,,,,
500544000,,,,,,
500630400,,,,,,
500716800,,,,,,
500803200,,,,,,
500889600,,,,,,
500976000,,,,,,
501062400,,,,,,
501148800,,,,,,
501235200,,,,,,
501321600,,,,,,
501408000,,,,,,
501494400,,,,,,
501580800,,,,,,
501667200,,,,,,
501753600,,,,,,
501840000,,,,,,
501926400,,,,,,
502012800,,,,,,
502099200,,,,,,
502185600,,,,,,
502272000,,,,,,
502358400,,,,,,
502444800,,,,,,
502531200,,,,,,
502617600,,,,,,
502704000,,,,,,
502790400,,,,,,
502876800,,,,,,
502963200,,,,,,
503049600,,,,,,
503136000,,,,,,
503222400,,,,,,
503308800,,,,,,
503395200,,,,,,
503481600,,,,,,
503568000,,,,,,
503654400,,,,,,
503740800,,,,,,
503827200,,,,,,
503913600,,,,,,
504000000,,,,,,
504086400,,,,,,
504172800,,,,,,
504259200,,,,,,
504345600,,,,,,
504432000,,,,,,
504518400,,,,,,
504604800,,,,,,
504691200,,,,,,
504777600,,,,,,
504864000,,,,,,
504950400,,,,,,
505036800,,,,,,
505123200,,,,,,
505209600,,,,,,
505296000,,,,,,
505382400,,,,,,
505468800,,,,,,
505555200,,,,,,
505641600,,,,,,
505728000,,,,,,
505814400,,,,,,
505900800,,,,,,
505987200,,,,,,
506073600,,,,,,
506160000,,,,,,
506246400,,,,,,
506332800,,,,,,
506419200,,,,,,
506505600,,,,,,
506592000,,,,,,
506678400,,,,,,
506764800,,,,,,
506851200,,,,,,
506937600,,,,,,
507024000,,,,,,
507110400,,,,,,
507196800,,,,,,
507283200,,,,,,
507369600,,,,,,
507456000,,,,,,
507542400,,,,,,
507628800,,,,,,
507715200,,,,,,
507801600,,,,,,
507888000,,,,,,
507974400,,,,,,
508060800,,,,,,
508147200,,,,,,
508233600,,,,,,
508320000,,,,,,
508406400,,,,,,
508492800,,,,,,
508579200,,,,,,
508665600,,,,,,
508752000,,,,,,
508838400,,,,,,
508924800,,,,,,
509011200,,,,,,
509097600,,,,,,
509184000,,,,,,
509270400,,,,,,
509356800,,,,,,
509443200,,,,,,
509529600,,,,,,
509616000,,,,,,
509702400,,,,,,
509788800,,,,,,
509875200,,,,,,
509961600,,,,,,
510048000,,,,,,
510134400,,,,,,
510220800,,,,,,
510307200,,,,,,
510393600,,,,,,
510480000,,,,,,
510566400,,,,,,
510652800,,,,,,
510739200,,,,,,
510825600,,,,,,
510912000,,,,,,
510998400,,,,,,
511084800,,,,,,
511171200,,,,,,
511257600,,,,,,
511344000,,,,,,
511430400,,,,,,
511516800,,,,,,
511603200,,,,,,
511689600,,,,,,
511776000,,,,,,
511862400,,,,,,
511948800,,,,,,
512035200,,,,,,
512121600,,,,,,
512208000,,,,,,
512294400,,,,,,
512380800,,,,,,
512467200,,,,,,
512553600,,,,,,
512640000,,,,,,
512726400,,,,,,
512812800,,,,,,
512899200,,,,,,
512985600,,,,,,
513072000,,,,,,
513158400,,,,,,
513244800,,,,,,
513331200,,,,,,
513417600,,,,,,
513504000,,,,,,
513590400,,,,,,
513676800,,,,,,
513763200,,,,,,
513849600,,,,,,
513936000,,,,,,
514022400,,,,,,
514108800,,,,,,
514195200,,,,,,
514281600,,,,,,
514368000,,,,,,
514454400,,,,,,
514540800,,,,,,
514627200,,,,,,
514713600,,,,,,
514800000,,,,,,
514886400,,,,,,
514972800,,,,,,
515055600,,,,,,
515142000,,,,,,
515228400,,,,,,
515314800,,,,,,
515401200,,,,,,
515487600,,,,,,
515574000,,,,,,
515660400,,,,,,
515746800,,,,,,
515833200,,,,,,
515919600,,,,,,
516006000,,,,,,
516092400,,,,,,
516178800,,,,,,
516265200,,,,,,
516351600,,,,,,
516438000,,,,,,
516524400,,,,,,
516610800,,,,,,
516697200,,,,,,
516783600,,,,,,
516870000,,,,,,
516956400,,,,,,
517042800,,,,,,
517129200,,,,,,
517215600,,,,,,
517302000,,,,,,
517388400,,,,,,
517474800,,,,,,
517561200,,,,,,
517647600,,,,,,
517734000,,,,,,
517820400,,,,,,
517906800,,,,,,
517993200,,,,,,
518079600,,,,,,
518166000,,,,,,
518252400,,,,,,
518338800,,,,,,
518425200,,,,,,
518511600,,,,,,
518598000,,,,,,
518684400,,,,,,
518770800,,,,,,
518857200,,,,,,
518943600,,,,,,
519030000,,,,,,
519116400,,,,,,
519202800,,,,,,
519289200,,,,,,
519375600,,,,,,
519462000,,,,,,
519548400,,,,,,
519634800,,,,,,
